step,state,next_state,action,reward,td_error,suddenness,goal_relevance,conduciveness,power,q_values_json
163,S,S1,,-1,-0.0004420866204611684,0.0,0.0,0.0,0.0,"{""frwd"": -16.01153894492313}"
164,S1,P,frwd,-5,0.08658999396380392,0.2325581395348837,0.08658999396380392,0.543294996981902,0.0,"{""frwd"": -18.998869066061573}"
165,P,E,frwd,-10,-1.8262329643596855,0.0,1.0,0.0,0.0,"{""frwd"": -9.999922690062801}"
166,E,E,frwd,-10,-0.00031840649848469127,0.0,0.00031840649848469127,0.49984079675075765,0.0,"{""frwd"": -9.999922690062801}"
167,S,S1,,-1,-0.00031840649848469127,0.0,0.0,0.0,0.0,"{""frwd"": -17.837771909282818}"
168,S1,P,frwd,-5,-0.43246990460245305,0.2272727272727273,0.43246990460245305,0.2837650476987735,0.0,"{""frwd"": -18.99918747256006}"
169,P,E,frwd,-10,-1.2784490448063706,0.0,1.0,0.0,0.0,"{""frwd"": -9.99994588304396}"
170,E,E,frwd,-10,-0.000229146653851231,0.0,0.000229146653851231,0.4998854266730744,0.0,"{""frwd"": -9.99994588304396}"
171,S,S1,,-1,-0.000229146653851231,0.0,0.0,0.0,0.0,"{""frwd"": -19.11622095408919}"
172,S1,P,frwd,-5,-0.6479101753194371,0.2222222222222222,0.6479101753194371,0.17604491234028147,0.0,"{""frwd"": -18.99941661921391}"
173,P,E,frwd,-10,-0.8949762009609994,0.0,0.8949762009609994,0.052511899519500305,0.0,"{""frwd"": -9.999962118130773}"
174,E,E,frwd,-10,-0.00016478613113619643,0.0,0.00016478613113619643,0.4999176069344319,0.0,"{""frwd"": -9.999962118130773}"
175,S,S1,,-1,-0.00016478613113619643,0.0,0.0,0.0,0.0,"{""frwd"": -20.01119715505019}"
176,S1,P,frwd,-5,-0.6951806969830755,0.21739130434782605,0.6951806969830755,0.15240965150846225,0.0,"{""frwd"": -18.999581405345047}"
177,P,E,frwd,-10,-0.6265278329281055,0.0,0.6265278329281055,0.18673608353594723,0.0,"{""frwd"": -9.99997348269154}"
178,E,E,frwd,-10,-0.00011841872320168534,0.0,0.00011841872320168534,0.49994079063839914,0.0,"{""frwd"": -9.99997348269154}"
179,S,S1,,-1,-0.00011841872320168534,0.0,0.0,0.0,0.0,"{""frwd"": -20.637724987978295}"
180,S1,P,frwd,-5,-0.6557890027787415,0.21276595744680848,0.6557890027787415,0.17210549861062924,0.0,"{""frwd"": -18.999699824068248}"
