step,state,next_state,action,reward,td_error,suddenness,goal_relevance,conduciveness,power,q_values_json
150,S,S1,,-1.0,-0.0006132954493086373,0.0,0.0,0.0,0.0,"{""frwd"": -22.084428240248922}"
151,S1,P,frwd,-5.0,-0.023683624250048396,0.0,0.0,0.0,0.0,"{""frwd"": -18.998426979441113}"
152,P,E,frwd,-10.0,-0.004246812374424635,0.0,0.0,0.0,0.0,"{""frwd"": -9.999889557232574}"
153,E,E,frwd,-10.0,-0.0004420866204611684,0.0,0.0,0.0,0.0,"{""frwd"": -9.999889557232574}"
154,S,S1,,-1.0,-0.0004420866204611684,0.0,0.0,0.0,0.0,"{""frwd"": -22.088675052623348}"
155,S1,P,frwd,-5.0,-0.017725176316129774,0.0,0.0,0.0,0.0,"{""frwd"": -18.998869066061573}"
156,P,E,frwd,-10.0,-0.0030921320496208435,0.0,0.0,0.0,0.0,"{""frwd"": -9.999922690062801}"
157,E,E,frwd,-10.0,-0.00031840649848469127,0.0,0.0,0.0,0.0,"{""frwd"": -9.999922690062801}"
158,S,S1,,-1.0,-0.00031840649848469127,0.0,0.0,0.0,0.0,"{""frwd"": -22.091767184672968}"
159,S1,P,frwd,-5.0,-0.01324249907468733,0.0,0.0,0.0,0.0,"{""frwd"": -18.99918747256006}"
160,P,E,frwd,-10.0,-0.00225046218932583,0.0,0.0,0.0,0.0,"{""frwd"": -9.99994588304396}"
161,E,E,frwd,-10.0,-0.000229146653851231,0.0,0.0,0.0,0.0,"{""frwd"": -9.99994588304396}"
162,S,S1,,-1.0,-0.000229146653851231,0.0,0.0,0.0,0.0,"{""frwd"": -22.094017646862294}"
163,S1,P,frwd,-5.0,-0.009877374143398754,0.0,0.0,0.0,0.0,"{""frwd"": -18.99941661921391}"
164,P,E,frwd,-10.0,-0.0016371931290681374,0.0,0.0,0.0,0.0,"{""frwd"": -9.999962118130773}"
165,E,E,frwd,-10.0,-0.00016478613113619643,0.0,0.0,0.0,0.0,"{""frwd"": -9.999962118130773}"
166,S,S1,,-1.0,-0.00016478613113619643,0.0,0.0,0.0,0.0,"{""frwd"": -22.09565483999136}"
167,S1,G,frwd,10.0,-0.0073562040452273434,0.0,0.0,0.0,0.0,"{""frwd"": 9.176457000000001}"
168,G,G,frwd,10.0,12.106339841997407,0.0,0.0,0.0,0.0,"{""frwd"": 9.176457000000001}"
169,S,S1,,-1.0,12.106339841997407,0.0,0.0,0.0,0.0,"{""frwd"": -9.989314997993954}"
170,S1,P,frwd,-5.0,3.2635624145076405,0.0,0.0,0.0,0.0,"{""frwd"": -18.999581405345047}"
171,P,E,frwd,-10.0,-3.633092480044976,0.0,0.0,0.0,0.0,"{""frwd"": -9.99997348269154}"
172,E,E,frwd,-10.0,-0.00011841872320168534,0.0,0.0,0.0,0.0,"{""frwd"": -9.99997348269154}"
173,S,S1,,-1.0,-0.00011841872320168534,0.0,0.0,0.0,0.0,"{""frwd"": -13.62240747803893}"
174,S1,P,frwd,-5.0,1.3035587205432055,0.0,0.0,0.0,0.0,"{""frwd"": -18.999699824068248}"
175,P,E,frwd,-10.0,-2.5431967090867484,0.0,0.0,0.0,0.0,"{""frwd"": -9.99998143788408}"
176,E,E,frwd,-10.0,-8.504100822683824e-05,0.0,0.0,0.0,0.0,"{""frwd"": -9.99998143788408}"
177,S,S1,,-1.0,-8.504100822683824e-05,0.0,0.0,0.0,0.0,"{""frwd"": -16.16560418712568}"
178,S1,P,frwd,-5.0,0.22582799292682176,0.0,0.0,0.0,0.0,"{""frwd"": -18.999784865076474}"
179,P,E,frwd,-10.0,-1.7802606574329445,0.0,0.0,0.0,0.0,"{""frwd"": -9.999987006518856}"
180,E,E,frwd,-10.0,-6.1032237148950225e-05,0.0,0.0,0.0,0.0,"{""frwd"": -9.999987006518856}"
181,S,S1,,-1.0,-6.1032237148950225e-05,0.0,0.0,0.0,0.0,"{""frwd"": -17.945864844558624}"
182,S1,G,frwd,10.0,-0.3225907824581192,0.0,0.0,0.0,0.0,"{""frwd"": 9.4235199}"
183,G,G,frwd,10.0,10.928109826367587,0.0,0.0,0.0,0.0,"{""frwd"": 9.4235199}"
184,S,S1,,-1.0,10.928109826367587,0.0,0.0,0.0,0.0,"{""frwd"": -7.017755018191037}"
185,S1,P,frwd,-5.0,2.7247761053985644,0.0,0.0,0.0,0.0,"{""frwd"": -18.999845897313623}"
186,P,E,frwd,-10.0,-4.524631886817367,0.0,0.0,0.0,0.0,"{""frwd"": -9.999990904563198}"
187,E,E,frwd,-10.0,-4.377503797634574e-05,0.0,0.0,0.0,0.0,"{""frwd"": -9.999990904563198}"
188,S,S1,,-1.0,-4.377503797634574e-05,0.0,0.0,0.0,0.0,"{""frwd"": -11.542386905008405}"
189,S1,P,frwd,-5.0,0.6856926643383057,0.0,0.0,0.0,0.0,"{""frwd"": -18.9998896723516}"
190,P,E,frwd,-10.0,-3.1672541400324103,0.0,0.0,0.0,0.0,"{""frwd"": -9.999993633194238}"
191,E,E,frwd,-10.0,-3.137925696456989e-05,0.0,0.0,0.0,0.0,"{""frwd"": -9.999993633194238}"
192,S,S1,,-1.0,-3.137925696456989e-05,0.0,0.0,0.0,0.0,"{""frwd"": -14.709641045040815}"
193,S1,P,frwd,-5.0,-0.3751737527719367,0.0,0.0,0.0,0.0,"{""frwd"": -18.999921051608563}"
194,P,E,frwd,-10.0,-2.217086370422068,0.0,0.0,0.0,0.0,"{""frwd"": -9.999995543235967}"
195,E,E,frwd,-10.0,-2.24811911422762e-05,0.0,0.0,0.0,0.0,"{""frwd"": -9.999995543235967}"
196,S,S1,,-1.0,-2.24811911422762e-05,0.0,0.0,0.0,0.0,"{""frwd"": -16.92672741546288}"
197,S1,P,frwd,-5.0,-0.8612349469543138,0.0,0.0,0.0,0.0,"{""frwd"": -18.999943532799705}"
198,P,E,frwd,-10.0,-1.5519665292170564,0.0,0.0,0.0,0.0,"{""frwd"": -9.999996880265176}"
199,E,E,frwd,-10.0,-1.6097831686323616e-05,0.0,0.0,0.0,0.0,"{""frwd"": -9.999996880265176}"
200,S,S1,,-1.0,-1.6097831686323616e-05,0.0,0.0,0.0,0.0,"{""frwd"": -18.47869394467994}"
201,S1,P,frwd,-5.0,-1.0218954257566253,0.0,0.0,0.0,0.0,"{""frwd"": -18.99995963063139}"
202,P,E,frwd,-10.0,-1.0863809168664942,0.0,0.0,0.0,0.0,"{""frwd"": -9.999997816185623}"
203,E,E,frwd,-10.0,-1.1521180700668765e-05,0.0,0.0,0.0,0.0,"{""frwd"": -9.999997816185623}"
204,S,S1,,-1.0,-1.1521180700668765e-05,0.0,0.0,0.0,0.0,"{""frwd"": -19.565074861546435}"
205,S1,P,frwd,-5.0,-1.0086496455835914,0.0,0.0,0.0,0.0,"{""frwd"": -18.99997115181209}"
